Team,DRtg,Pace,eFG%,TOV%,DRB%,FT/FGA
BOS,111.2,96.6,0.523,11.8,76.2,0.158
LAL,114.6,97.6,0.539,12.1,74.9,0.180
GSW,112.0,99.2,0.538,13.6,75.7,0.194
MIA,113.0,96.4,0.539,12.2,76.1,0.16
CHI,116.2,103.0,0.541,10.7,76.5,0.182
NYK,114.7,97.3,0.549,12.8,74.8,0.175
PHI,117.3,96.9,0.569,14.7,72.5,0.2
DEN,115.6,100.1,0.54,11.3,74.9,0.174
MIL,112.5,99.8,0.528,11.4,76.5,0.179
TOR,115.9,99.1,0.544,12.8,73.5,0.224
SAS,116.5,99.3,0.544,11.7,72.7,0.157
OKC,107.5,99.9,.514,15.0,74.7,.210
DAL,115.2,99.0,0.534,11.7,72.9,0.181
PHO,118.4,97.5,0.544,10.8,73.9,0.192
CLE,111.3,100.0,0.525,12.8,75.4,0.181
UTA,119.4,99.6,0.554,10.3,74.6,0.189
WAS,118.6,101.3,0.548,11.5,72.6,0.205
ORL,109.9,96.2,0.542,15.3,77.3,0.228
IND,115.0,99.8,0.547,13.1,73.6,0.194
SAC,115.0,98.8,0.55,12.6,77.2,0.202
MIN,111.7,97.3,0.531,13.2,74.5,0.18
ATL,115.4,103.1,0.561,14.0,76.0,0.197
NOP,119.3,99.3,0.563,12.7,71.8,0.178
MEM,112.4,103.7,0.531,13.0,74.3,0.201
DET,112.4,100.0,0.54,13.4,77.1,0.213
BRK,115.6,96.1,0.558,14.1,74.6,0.214
HOU,110.0,98.6,0.521,12.9,75.4,0.19
CHO,115.0,97.6,0.543,12.5,74.8,0.196
SAC,115.0,98.8,0.55,12.6,77.2,0.202
POR,115.6,98.9,0.545,13.3,72.4,0.209
LAC,110.4,97.8,0.537,13.9,76.9,0.193

